1.471: [GC 1.471: [DefNew: 959K->63K(960K), 0.0016255 secs] 26863K->26526K(524224K), 0.0016678 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.475: [GC 1.475: [DefNew: 959K->64K(960K), 0.0016760 secs] 27422K->27096K(524224K), 0.0017150 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.478: [GC 1.478: [DefNew: 960K->63K(960K), 0.0015600 secs] 27992K->27651K(524224K), 0.0016014 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
1.486: [GC 1.486: [DefNew: 959K->63K(960K), 0.0046979 secs] 29060K->28728K(524224K), 0.0047681 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.492: [GC 1.492: [DefNew: 959K->64K(960K), 0.0024887 secs] 29625K->29425K(524224K), 0.0025518 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.497: [GC 1.497: [DefNew: 960K->63K(960K), 0.0019512 secs] 30322K->30044K(524224K), 0.0019989 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.501: [GC 1.501: [DefNew: 959K->63K(960K), 0.0019873 secs] 30942K->30576K(524224K), 0.0020364 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.504: [GC 1.504: [DefNew: 959K->64K(960K), 0.0017770 secs] 31472K->31114K(524224K), 0.0018256 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.508: [GC 1.508: [DefNew: 960K->63K(960K), 0.0026090 secs] 32010K->31782K(524224K), 0.0026639 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.512: [GC 1.512: [DefNew: 959K->63K(960K), 0.0022914 secs] 32678K->32454K(524224K), 0.0023521 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.516: [GC 1.516: [DefNew: 959K->63K(960K), 0.0025542 secs] 33350K->33132K(524224K), 0.0026754 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
